What's your preferred study level?,"If Ph.D., do you already have a supervisor who's happy to work with you?","If Yes, has the supervisor approved your proposal?",What is your intended study area?,Choose the most preferred destination you would like to study?,Choose the second most preferred destination you would like to study?,Choose the third most preferred destination you would like to study?,What is the study plan month and year?,Have you contacted or shortlisted your University already?,Have you already started the application process directly with the university OR were you asked by the university to contact us to complete the application?,"Currently, are you a student or a working professional?",How much work experience do you have?,Please mention year of birth?,Do you already have a passport?,We would like to know bit better about your academic achievements so far. So have you had any backlogs?,"If yes, choose the number of backlogs you had",How much are you planning to spend on your studies and the living costs per year?,So you mentioned that your budget is XXX lakhs. How are you going to fund your studies?,Are your parents in service or doing their own business?,Have you taken any English proficiency test?,"If yes, please provide the test","If yes, what was the score overall?",Have any of your family members studied abroad OR do you have any friends or family in the country that you want to study in?,Which other study abroad consultants are you in touch with for your application?,Lead converted flag
Postgraduate,,,Data Science,USA,USA,USA,01-09-21,No,,Student,,1998,Yes,No,,Not provided,Self funding,In-Service,No,,,Yes,None,0
Postgraduate,,,Engineering,Canada,Canada,Canada,01.01.2024,Yes,No,Student,,2000,Yes,No,,10 - 20 lakhs,Bank loan,In-Service,No,,,Yes,none,0
Postgraduate,,,Other,Canada,,,01-09-21,No,,Student,,1995,Yes,Yes,> 10,10 - 20 lakhs,Parents asset,Not provided,No,,,No,,0
Undergraduate,,,Pharmacy,USA,,,01-01-21,No,,Student,,2003,Yes,No,,Not provided,Parents asset,Own business,No,,,Yes,,0
Undergraduate,,,Sciences,USA,USA,USA,01-09-21,No,,Student,,2003,No,No,,10 lakhs or under,Parents asset,Own business,No,,,No,none,0
Postgraduate,,,Management,USA,UK,Ireland,01-01-21,No,,Student,,2001,No,No,,Not provided,Parents asset,In-Service,No,,,Yes,,0
Postgraduate,,,Computer Science and Information Technology,USA,Canada,Canada,01-09-21,No,,Student,,1998,Yes,Yes,< 5 ,30 lakhs and over,Parents asset,In-Service,No,,,Yes,none,0
Undergraduate,,,Arts,Australia,USA,,01-01-21,No,,Working professional,1 - 3 years of work exp,1997,Yes,No,,10 lakhs or under,Parents asset,In-Service,No,,,No,,0
Vocational,,,Nutrition,Australia,Canada,UK,01-09-21,No,,Working professional,1 - 3 years of work exp,1996,Yes,No,,10 lakhs or under,Parents asset,In-Service,No,,,No,None,0
Postgraduate,,,Humanities & Social Sciences,Australia,Canada,UK,01-01-21,No,,Working professional,4 - 6 years of work exp,1992,No,No,,Not provided,Parents asset,Not provided,No,,,No,,0
Undergraduate,,,Engineering,Ireland,,,01-01-21,No,,Student,,2003,No,No,,10 lakhs or under,Parents asset,In-Service,No,,,Yes,,0
Postgraduate,,,Business & Economics,Australia,USA,USA,01.09.2024,No,,Working professional,1 - 3 years of work exp,1999,Yes,No,,20 - 30 lakhs,Parents asset,Own business,No,,,No,None,0
Postgraduate,,,Management,Canada,,,01-09-21,No,,Working professional,1 - 3 years of work exp,1994,No,No,,10 - 20 lakhs,Self funding,In-Service,No,,,No,,0
Vocational,,,Hospitality,Canada,,,01-09-21,No,,Student,,1999,Yes,No,,Not provided,Parents asset,In-Service,No,,,Yes,,0
Postgraduate,,,Business & Economics,Canada,Canada,Canada,28-06-05,No,,Student,,2000,Yes,Yes,< 5 ,Not provided,Parents asset,In-Service,No,,,Yes,None,0
Postgraduate,,,Business & Economics,Canada,,,01-09-21,Yes,No,Student,,1999,Yes,Yes,< 5 ,10 - 20 lakhs,Bank loan,In-Service,No,,,No,,0
Vocational,,,Business & Economics,USA,USA,,01-01-21,No,,Student,,2002,Yes,No,,10 - 20 lakhs,Parents asset,Own business,No,,,Yes,,0
Postgraduate,,,Engineering,Canada,New Zealand,Australia,01-09-21,No,,Student,,1998,Yes,Yes,< 5 ,Not provided,Parents asset,Not provided,No,,,No,none,0
Postgraduate,,,Supply chain management,Ireland,Ireland,Ireland,01-09-21,Yes,No,Student,,1997,Yes,No,,20 - 30 lakhs,Bank loan,In-Service,No,,,No,None,0
Postgraduate,,,MBA,Canada,,,01-09-21,Yes,No,Student,,1998,Yes,No,,Not provided,Parents asset,Own business,No,,,No,,0
Postgraduate,,,Other,USA,,,01-09-21,No,,Student,,1996,Yes,Yes,< 5 ,Not provided,Parents asset,Own business,No,,,Yes,,0
Undergraduate,,,AI,Australia,,,01.09.2024,No,,Student,,2001,No,No,,Not provided,Parents asset,Own business,No,,,No,,0
Postgraduate,,,Marketing,Canada,New Zealand,UK,01-01-21,No,,Working professional,1 - 3 years of work exp,1997,Yes,No,,Not provided,Parents asset,Own business,No,,,Yes,,0
Postgraduate,,,Aviation,Canada,,,01-09-21,No,,Working professional,1 - 3 years of work exp,1997,Yes,Yes,< 5 ,Not provided,Parents asset,Own business,No,,,No,,0
Vocational,,,Other,Canada,,,01-09-22,No,,Student,,2000,Yes,No,,Not provided,Parents asset,Own business,No,,,Yes,,0
Undergraduate,,,Computer Science and Information Technology,Canada,,,01-01-21,Yes,No,Student,,2001,Yes,No,,Not provided,Parents asset,In-Service,Yes,IELTS,7,Yes,,0
Undergraduate,,,Media & Communications,Australia,,,01-01-21,No,,Student,,1998,Yes,Yes,06-Oct,Not provided,Parents asset,In-Service,No,,,Yes,,0
Undergraduate,,,Engineering,UK,,,01-09-21,No,,Student,,2002,No,No,,Not provided,Parents asset,Own business,No,,,No,,0
Undergraduate,,,Commerce,Australia,,,01-09-21,Yes,No,Student,,2000,Yes,No,,10 - 20 lakhs,Parents asset,Not provided,Yes,IELTS,6,Yes,,0
Postgraduate,,,MBA,USA,,,01-01-21,No,,Student,,2001,Yes,No,,Not provided,Parents asset,Own business,No,,,No,,0
Postgraduate,,,Sociology,USA,New Zealand,Ireland,01-09-21,No,,Student,,1998,No,No,,Not provided,Other,In-Service,No,,,No,none,0
Postgraduate,,,Data Science ,USA,Australia,,01-09-21,No,,Working professional,1 - 3 years of work exp,1996,Yes,No,,Not provided,Bank loan,Not provided,No,,,Yes,,0
Vocational,,,Finance,Canada,,,01-09-21,No,,Working professional,7+ years of work exp,1987,Yes,No,,Not provided,Parents asset,Not provided,No,,,No,,0
Postgraduate,,,Business & Economics,UK,UK,UK,01-01-21,No,,Working professional,1 - 3 years of work exp,1997,Yes,No,,Not provided,Parents asset,In-Service,No,,,No,none,0
Postgraduate,,,Botany,Canada,Australia,,01.01.2024,No,,Working professional,1 - 3 years of work exp,1995,No,No,,Not provided,Other,Not provided,No,,,No,,0
Postgraduate,,,Psychology,Canada,Ireland,UK,01-01-21,No,,Student,,1988,Yes,No,,Not provided,Parents asset,In-Service,No,,,No,none,0
Undergraduate,,,Computer Science and Information Technology,Australia,Canada,USA,01-01-21,No,,Student,,1998,Yes,No,,30 lakhs and over,Bank loan,Own business,No,,,No,,0
Postgraduate,,,MBA,Australia,,,01-09-21,No,,Student,,1999,Yes,No,,10 - 20 lakhs,Parents asset,Own business,No,,,No,,0
Undergraduate,,,Architecture & Built Environment Studies,Australia,,,01-09-21,No,,Student,,1997,Yes,No,,Not provided,Parents asset,In-Service,No,,,Yes,,0
Postgraduate,,,MBA,Australia,,,01-01-21,No,,Student,,1995,Yes,No,,Not provided,Parents asset,Own business,No,,,No,,0
Undergraduate,,,Automobiles,Australia,,,01-09-21,No,,Student,,2000,Yes,No,,Not provided,Parents asset,Own business,Yes,IELTS,6,Yes,,0
Undergraduate,,,Engineering,Canada,,,01-09-21,No,,Student,,1998,Yes,No,,20 - 30 lakhs,Parents asset,Not provided,No,,,Yes,,0
Postgraduate,,,Engineering,USA,,,01.01.2024,No,,Working professional,1 - 3 years of work exp,1996,Yes,No,,10 - 20 lakhs,Bank loan,In-Service,Yes,GRE,301,Yes,,0
Postgraduate,,,Digital Marketing,UK,,,01-09-21,No,,Working professional,1 - 3 years of work exp,1994,Yes,No,,Not provided,Parents asset,In-Service,No,,,No,,0
Postgraduate,,,Agriculture,Canada,Australia,,01-01-22,No,,Student,,1999,Yes,No,,Not provided,Parents asset,In-Service,No,,,Yes,,0
Postgraduate,,,Film Making,Canada,USA,,01-01-21,Yes,No,Student,,1998,Yes,No,,Not provided,Parents asset,Own business,No,,,No,,0
Undergraduate,,,Other,Canada,Ireland,,01.01.2024,No,,Student,,2000,Yes,No,,Not provided,Parents asset,Own business,No,,,No,,0
Undergraduate,,,Business & Economics,USA,,USA,01-01-21,No,,Student,,2001,Yes,No,,10 - 20 lakhs,Parents asset,In-Service,Yes,IELTS,5,Yes,,0
Vocational,,,Cosmetology,Canada,Canada,Canada,01-09-21,No,,Student,,2002,Yes,No,,Not provided,Parents asset,In-Service,No,,,Yes,None,0
Postgraduate,,,Other,USA,Canada,UK,01-09-21,No,,Working professional,7+ years of work exp,1983,Yes,No,,10 lakhs or under,Other,In-Service,No,,,Yes,winny immigration,0
Postgraduate,,,Engineering,Canada,USA,,01-09-22,No,,Student,,1998,Yes,No,,10 - 20 lakhs,Parents asset,Own business,No,,,No,,0
Postgraduate,,,MBA,Canada,UK,,01-09-21,Yes,No,Student,,2000,No,No,,Not provided,Bank loan,In-Service,No,,,Yes,,0
Postgraduate,,,Computer Science and Information Technology,Australia,USA,,01-01-21,No,,Working professional,1 - 3 years of work exp,1997,Yes,No,,Not provided,Parents asset,Own business,No,,,Yes,,0
Postgraduate,,,Architecture & Built Environment Studies,USA,UK,Ireland,01-09-21,No,,Student,,1999,Yes,No,,Not provided,Parents asset,In-Service,No,,,No,,0
Postgraduate,,,Production,UK,,,01-09-21,No,,Student,,1995,Yes,Yes,> 10,Not provided,Bank loan,Not provided,No,,,No,,0
Postgraduate,,,Health care,USA,UK,UK,01-09-21,No,,Working professional,1 - 3 years of work exp,1996,No,No,,10 lakhs or under,Parents asset,In-Service,No,,,Yes,None,0
Undergraduate,,,Architecture,UK,UK,UK,01-09-21,No,,Working professional,1 - 3 years of work exp,1999,Yes,No,,10 - 20 lakhs,Parents asset,Own business,No,,,Yes,"
Europe Study Centre ",0
Undergraduate,,,Fashion Designing,UK,Canada,New Zealand,01-01-21,No,,Student,,2003,No,No,,10 lakhs or under,Parents asset,In-Service,No,,,No,None,0
Postgraduate,,,Business & Economics,UK,Australia,Canada,01-09-21,No,,Working professional,4 - 6 years of work exp,1988,Yes,No,,10 lakhs or under,Parents asset,In-Service,Yes,IELTS,7,Yes,None,0
Postgraduate,,,Digital Marketing,Canada,New Zealand,UK,01-01-21,No,,Working professional,1 - 3 years of work exp,1994,Yes,No,,20 - 30 lakhs,Bank loan,Own business,No,,,Yes,None,0
Postgraduate,,,Interior Design,USA,Canada,,01-09-21,No,,Student,,1999,Yes,Yes,< 5 ,Not provided,Bank loan,In-Service,Yes,IELTS,6.5,Yes,,0
Postgraduate,,,Finance,USA,Canada,,01-09-21,No,,Student,,1999,No,No,,Not provided,Bank loan,Not provided,No,,,No,,0
Postgraduate,,,Business & Economics,UK,,,01.01.2024,No,,Student,,1998,No,No,,Not provided,Self funding,Not provided,No,,,No,,0
Postgraduate,,,HR,UK,,,01-09-21,No,,Working professional,4 - 6 years of work exp,1984,No,No,,Not provided,Parents asset,Not provided,No,,,Yes,,0
Postgraduate,,,Computer Science and Information Technology,Canada,,,01-01-21,No,,Working professional,< 1 year of work exp,1999,Yes,No,,Not provided,Self funding,Not provided,No,,,No,,0
Vocational,,,Software Testing,Canada,Australia,,01-09-21,No,,Student,,1998,Yes,No,,10 - 20 lakhs,Parents asset,In-Service,Yes,IELTS,7,Yes,,0
Postgraduate,,,Marketing,USA,,,01-09-21,No,,Working professional,4 - 6 years of work exp,1985,Yes,No,,Not provided,Self funding,In-Service,No,,,No,,0
Postgraduate,,,Marketing,Australia,,,01-09-21,No,,Working professional,1 - 3 years of work exp,1994,Yes,No,,Not provided,Parents asset,In-Service,No,,,No,,0
Vocational,,,Engineering,Australia,Canada,,01-09-21,No,,Student,,1999,Yes,No,,Not provided,Parents asset,Not provided,No,,,No,,0
Undergraduate,,,Other,Australia,,,01-09-21,No,,Student,,2001,Yes,No,,Not provided,Parents asset,Not provided,Yes,IELTS,5.5,Yes,,0
Postgraduate,,,Radiology,UK,,,01-09-21,No,,Student,,1996,No,No,,Not provided,Parents asset,Own business,No,,,No,,0
Postgraduate,,,AI,UK,Ireland,,01-09-21,Yes,No,Working professional,4 - 6 years of work exp,1981,Yes,No,,10 - 20 lakhs,Self funding,In-Service,No,,,No,,0
Postgraduate,,,Digital Marketing,UK,,,01-01-21,No,,Working professional,4 - 6 years of work exp,1993,Yes,Yes,> 10,Not provided,Parents asset,In-Service,Yes,IELTS,6.5,No,,0
Undergraduate,,,Physiotheraphy,Canada,UK,USA,01-09-21,No,,Student,,1997,Yes,No,,Not provided,Parents asset,In-Service,No,,,No,None,0
Postgraduate,,,Dentistry,Ireland,Canada,Canada,01-01-21,No,,Working professional,< 1 year of work exp,1996,No,No,,20 - 30 lakhs,Parents asset,In-Service,No,,,No,The Chopras,0
Vocational,,,Web Design,Canada,,,01-09-21,No,,Student,,1997,Yes,No,,Not provided,Parents asset,Own business,No,,,No,,0
Undergraduate,,,Nursing,Canada,,,01-09-21,No,,Student,,1995,Yes,No,,10 lakhs or under,Parents asset,Not provided,No,,,No,,0
Postgraduate,,,Business & Economics,USA,Australia,Canada,01-09-21,No,,Student,,2000,No,No,,10 lakhs or under,Parents asset,In-Service,No,,,No,none,0
Undergraduate,,,Commerce,Australia,,Australia,01-09-21,Yes,No,Student,,2001,Yes,No,,Not provided,Parents asset,Own business,No,,,Yes,,0
Undergraduate,,,Engineering,Canada,Australia,,01-09-21,No,,Student,,1995,Yes,Yes,< 5 ,Not provided,Bank loan,In-Service,No,,,No,,0
Vocational,,,Education,Canada,,,01-09-21,No,,Working professional,7+ years of work exp,1989,Yes,Yes,< 5 ,Not provided,Self funding,In-Service,No,,,No,,0
Vocational,,,Other,Canada,,,01-05-21,No,,Working professional,1 - 3 years of work exp,1994,Yes,No,,10 - 20 lakhs,Self funding,Not provided,No,,,No,,0
Postgraduate,,,AI,UK,Canada,,01-05-21,No,,Working professional,4 - 6 years of work exp,1992,Yes,No,,Not provided,Self funding,In-Service,Yes,IELTS,7.5,Yes,,0
Vocational,,,Architecture & Built Environment Studies,UK,,,01-01-21,No,,Student,,1999,Yes,No,,Not provided,Parents asset,Own business,No,,,Yes,,0
Postgraduate,,,MBA,Canada,,,01-09-21,No,,Working professional,7+ years of work exp,1973,Yes,No,,Not provided,Self funding,In-Service,No,,,No,,0
Postgraduate,,,MBA,Australia,,,01-09-21,No,,Working professional,1 - 3 years of work exp,1989,No,No,,Not provided,Parents asset,In-Service,No,,,No,,0
Postgraduate,,,MBA,UK,,,01-01-21,No,,Working professional,1 - 3 years of work exp,1994,Yes,No,,Not provided,Parents asset,Own business,No,,,No,,0
Postgraduate,,,MBA,Australia,,,01-09-21,No,,Student,,1996,Yes,No,,10 - 20 lakhs,Parents asset,Own business,Yes,IELTS,7,No,,0
Postgraduate,,,MBA,Canada,,,01-09-21,No,,Working professional,4 - 6 years of work exp,1986,No,No,,Not provided,Self funding,Own business,No,,,Yes,,0
Undergraduate,,,Commerce,UK,,,01-01-22,No,,Working professional,7+ years of work exp,1976,Yes,No,,Not provided,Self funding,In-Service,No,,,Yes,,0
Postgraduate,,,Business & Economics,UK,,,01-01-21,Yes,No,Student,,2000,Yes,Yes,< 5 ,Not provided,Parents asset,Not provided,Yes,IELTS,7,No,,0
Postgraduate,,,Computer Science and Information Technology,Canada,,,01-09-21,No,,Student,,1997,No,No,,Not provided,Parents asset,Own business,No,,,Yes,,0
Undergraduate,,,Commerce,Australia,,,01-01-21,No,,Student,,2003,Yes,No,,Not provided,Parents asset,Not provided,No,,,No,,0
Postgraduate,,,Surgery,New Zealand,Australia,,01-09-21,No,,Working professional,1 - 3 years of work exp,1991,Yes,No,,Not provided,Parents asset,In-Service,No,,,Yes,,0
Postgraduate,,,Construction Management,Australia,,,01-09-21,Yes,No,Working professional,1 - 3 years of work exp,1997,No,Yes,> 10,Not provided,Parents asset,In-Service,No,,,Yes,,0
Undergraduate,,,Commerce,UK,,,01-09-21,No,,Student,,2003,Yes,No,,Not provided,Bank loan,Not provided,No,,,No,,0
Postgraduate,,,Commerce,Canada,,,01-05-21,No,,Student,,1999,Yes,No,,Not provided,Parents asset,In-Service,Yes,IELTS,6,No,,0
Postgraduate,,,Cyber Security,USA,Canada,Canada,01-01-21,No,,Working professional,< 1 year of work exp,1993,Yes,No,,10 lakhs or under,Parents asset,Own business,No,,,No,none,0
Vocational,,,Hospitality,New Zealand,Canada,,01-09-22,No,,Student,,2001,Yes,No,,Not provided,Self funding,Not provided,No,,,No,,0
Postgraduate,,,Biotech,UK,Australia,,01-01-21,No,,Student,,1998,No,Yes,< 5 ,10 lakhs or under,Self funding,Not provided,No,,,Yes,,0
Undergraduate,,,Commerce,Canada,UK,Ireland,01-01-21,No,,Student,,2003,Yes,No,,Not provided,Parents asset,In-Service,No,,,No,,0
Postgraduate,,,Engineering,USA,Canada,,01-01-21,No,,Student,,1999,No,No,,Not provided,Self funding,Not provided,No,,,No,,0
Postgraduate,,,Computer Science and Information Technology,USA,USA,USA,01-09-21,Yes,No,Working professional,1 - 3 years of work exp,1995,Yes,No,,20 - 30 lakhs,Bank loan,Own business,No,,,Yes,none,1
Postgraduate,,,Botany,UK,Australia,,01-09-21,No,,Student,,1995,Yes,No,,10 - 20 lakhs,Parents asset,In-Service,No,,,Yes,,0
Vocational,,,Business & Economics,Canada,Australia,,01-01-21,No,,Working professional,7+ years of work exp,1967,Yes,No,,Not provided,Self funding,In-Service,No,,,Yes,,0
Postgraduate,,,Pharmacy,Australia,,,01-09-21,No,,Student,,1997,Yes,No,,Not provided,Bank loan,Own business,No,,,No,,0
Postgraduate,,,Other,UK,USA,,01-01-21,Yes,No,Student,,2000,Yes,No,,Not provided,Other,Not provided,No,,,Yes,,0
Undergraduate,,,Engineering,Australia,Australia,Australia,01-09-21,No,,Working professional,1 - 3 years of work exp,1999,Yes,No,,10 lakhs or under,Parents asset,In-Service,No,,,No,None,0
Undergraduate,,,BBA,New Zealand,,,01-05-21,No,,Student,,2003,No,No,,Not provided,Bank loan,Not provided,No,,,No,,0
Postgraduate,,,Engineering,USA,,,01-09-21,No,,Student,,1999,Yes,No,,Not provided,Parents asset,Own business,Yes,GRE,318,No,,0
Postgraduate,,,Business & Economics,USA,,,01-09-21,No,,Student,,2001,No,No,,Not provided,Bank loan,In-Service,No,,,No,,0
Postgraduate,,,Public Health,Australia,Canada,,01-01-21,Yes,No,Student,,1997,Yes,No,,20 - 30 lakhs,Self funding,In-Service,No,,,Yes,,0
Undergraduate,,,Fashion Designing,Australia,Canada,Canada,01-01-21,No,,Student,,2002,No,No,,10 lakhs or under,Other,In-Service,No,,,Yes,None,0
Postgraduate,,,Other,UK,USA,,01-01-21,No,,Student,,1996,Yes,No,,10 lakhs or under,Parents asset,In-Service,No,,,No,,0
Postgraduate,,,Pharmacy,Canada,,,01-01-21,No,,Student,,1999,No,No,,Not provided,Parents asset,In-Service,No,,,No,,0
Undergraduate,,,BBA,USA,,,01-01-21,No,,Student,,2002,Yes,No,,Not provided,Parents asset,Own business,No,,,Yes,,0
Vocational,,,Business & Economics,Canada,Canada,Canada,01-09-22,No,,Student,,2002,No,No,,10 lakhs or under,Parents asset,In-Service,No,,,No,None,0
Other,,,Sciences,Australia,,,01-09-21,No,,Student,,2006,No,No,,Not provided,Parents asset,In-Service,No,,,No,,0
Undergraduate,,,Engineering,Australia,,,01-01-21,No,,Student,,2002,No,Yes,< 5 ,Not provided,Parents asset,Own business,No,,,No,,0
Postgraduate,,,Engineering,Canada,,,01-09-21,No,,Working professional,< 1 year of work exp,1998,No,Yes,06-Oct,Not provided,Bank loan,Not provided,No,,,No,,0
Postgraduate,,,MBA,Canada,,,01-01-21,No,,Working professional,4 - 6 years of work exp,1992,Yes,Yes,< 5 ,10 - 20 lakhs,Parents asset,Own business,No,,,No,,0
Postgraduate,,,Computer Science and Information Technology,Canada,,,01-09-21,No,,Student,,1998,Yes,Yes,< 5 ,Not provided,Parents asset,Own business,No,,,No,,0
Postgraduate,,,Computer Science and Information Technology,USA,Australia,Canada,01-01-21,No,,Working professional,7+ years of work exp,1991,Yes,No,,10 - 20 lakhs,Parents asset,In-Service,No,,,No,none,0
Postgraduate,,,Other,Canada,Australia,,01-01-21,No,,Working professional,1 - 3 years of work exp,1992,Yes,No,,10 lakhs or under,Parents asset,Not provided,Yes,IELTS,5.5,Yes,,0
Vocational,,,Other,Canada,,,01-09-21,No,,Student,,2001,Yes,No,,10 - 20 lakhs,Parents asset,Own business,Yes,Other,62,Yes,,0
Undergraduate,,,Law/legal studies,Australia,,,01-09-21,No,,Student,,2003,No,No,,Not provided,Parents asset,Own business,No,,,Yes,,0
Postgraduate,,,MBA,UK,,,01-01-21,No,,Student,,2002,No,No,,Not provided,Parents asset,Not provided,No,,,No,,0
Vocational,,,Computer Science and Information Technology,Canada,New Zealand,Ireland,01-09-21,No,,Working professional,1 - 3 years of work exp,1995,Yes,No,,10 - 20 lakhs,Parents asset,Not provided,No,,,Yes,,0
Postgraduate,,,MBA,USA,,,01-01-21,Yes,No,Working professional,4 - 6 years of work exp,1994,Yes,No,,Not provided,Self funding,In-Service,No,,,No,,0
Postgraduate,,,Engineering,Canada,,,01-01-21,No,,Working professional,1 - 3 years of work exp,1998,Yes,No,,Not provided,Parents asset,Own business,No,,,No,,0
Vocational,,,Medical,Canada,Australia,,01-01-21,No,,Working professional,7+ years of work exp,1988,Yes,No,,Not provided,Self funding,Own business,No,,,Yes,,0
Postgraduate,,,MBA,Canada,,,01-09-21,No,,Student,,2002,No,No,,Not provided,Parents asset,Own business,No,,,Yes,,0
Postgraduate,,,Nursing,UK,,,01-09-21,No,,Working professional,7+ years of work exp,1983,Yes,No,,Not provided,Self funding,In-Service,No,,,Yes,,0
Vocational,,,Business & Economics,Canada,,,01-09-21,No,,Working professional,1 - 3 years of work exp,1994,Yes,No,,Not provided,Parents asset,In-Service,No,,,Yes,,0
Undergraduate,,,Geography,Canada,,,01-09-21,No,,Student,,2002,No,No,,Not provided,Parents asset,Own business,No,,,No,,0
Postgraduate,,,Engineering,UK,,,01-09-21,No,,Student,,1999,No,Yes,< 5 ,Not provided,Parents asset,Not provided,No,,,Yes,,0
Undergraduate,,,Automation,USA,UK,Ireland,01-01-21,No,,Student,,2003,No,No,,10 - 20 lakhs,Parents asset,Own business,No,,,Yes,,0
Undergraduate,,,Sports,Australia,Canada,,01-09-21,No,,Student,,2001,Yes,No,,Not provided,Parents asset,In-Service,No,,,Yes,,0
Postgraduate,,,AI,UK,Ireland,Canada,01-01-21,No,,Working professional,< 1 year of work exp,1998,Yes,No,,Not provided,Parents asset,,Yes,IELTS,6.5,Yes,,0
